id,trending_data,name,cases
939,951,Acute Diarrheal Disease,30
940,892,Kyasanur Forest Disease,60
941,897,Diphtheria,1
942,917,Acute Gastroenteritis,79
943,916,Cholera,5
944,915,Food Poisoning,15
945,905,Kyasanur Forest Disease,2
946,907,Acute Diarrheal Disease,33
947,908,Food Poisoning,46
948,911,Cholera,16
949,950,Kyasanur Forest Disease,81
950,912,Food Poisoning,14
951,913,Food Poisoning,82
952,896,Human Rabies,1
953,936,Acute Diarrheal Disease,54
954,872,Acute Diarrheal Disease,15
955,918,Food Poisoning,7
956,914,Measles,34
957,947,Food Poisoning,92
958,886,Acute Diarrheal Disease,46
959,885,Acute Diarrheal Disease,28
960,919,Acute Diarrheal Disease,31
961,920,Cholera,6
962,935,Chikungunya,9
963,942,Food Poisoning,47
964,921,Food Poisoning,111
965,884,Human Rabies,1
966,948,Food Poisoning,32
967,953,Zika Virus,3
968,940,Acute Diarrheal Disease,12
969,939,Acute Diarrheal Disease,21
970,1098,Hepatitis A,9
971,1011,Food Poisoning,20
972,1066,Food Poisoning,141
973,966,Mumps,18
974,1095,Food Poisoning,16
975,965,Hepatitis A,36
976,1018,Acute Diarrheal Disease,29
977,967,Mumps,16
978,1010,Hepatitis A,4
979,1097,Food Poisoning,41
980,1017,Hepatitis A,254
981,982,Mumps,9
982,968,Food Poisoning,83
983,1005,Hepatitis A,4
984,999,Nipah Virus,1
985,1000,Mpox,1
986,996,Hepatitis A,38
987,998,Dengue,19
988,979,Mumps,18
989,988,Food Poisoning,71
990,984,Hepatitis A,27
991,983,Hepatitis A,325
992,976,Mumps,19
993,1107,Food Poisoning,6
994,1106,Hepatitis A,15
995,1147,Jaundice,37
996,1145,Food Poisoning,15
997,1150,Food Poisoning,12
998,999,Food Poisoning,19
999,1099,Acute Diarrheal Disease,43
1000,1001,Chickenpox,21
1001,1002,Mumps,15
1002,1019,Acute Diarrheal Disease,23
1003,1020,Hepatitis A,14
1004,1021,Hepatitis A,37
1005,1022,Leptospirosis,11
1006,1008,Mpox,1
1007,1008,Mumps,8
1008,1009,Mumps,5
1009,1010,Acute Diarrheal Disease,43
1010,1011,Hepatitis A,18
1011,1012,Mumps,8
1012,963,Acute Diarrheal Disease,27
1013,992,Hepatitis A,20
1014,993,Dengue,23
1015,994,Food Poisoning,171
1016,995,Dengue,10
1017,1018,Mumps,20
1018,963,Acute Diarrheal Disease,199
1019,1105,Hepatitis A,80
1020,972,Acute Hepatitis-A,409
1021,1089,Acute Diarrheal Disease,29
1022,1090,Mumps,12
1023,1091,Mumps,16
1024,1092,Mumps,38
1025,1093,Hepatitis A,12
1026,1058,Food Poisoning,74
1027,1057,Mumps,9
1028,1056,Chickenpox,12
1029,1063,Dengue,22
1030,1055,Mumps,20
1031,1053,Mumps,18
1032,1052,Mumps,17
1033,1051,Chickenpox,176
1034,1048,Acute Diarrheal Disease,18
1035,1047,Hepatitis A,19
1036,1025,Hepatitis A,10
1037,1086,Acute Diarrheal Disease,30
1038,1094,Mumps,26
1039,1085,Mumps,8
1040,1058,Hepatitis A,11
1041,1059,Hepatitis A,23
1042,1060,Food Poisoning,107
1043,1060,Acute Diarrheal Disease,62
1044,1032,Chickenpox,23
1045,1035,Food Poisoning,86
1046,1039,Food Poisoning,9
1047,1040,Mumps,20
1048,1041,Mumps,23
1049,1042,Food Poisoning,20
1050,1044,Hepatitis A,105
1051,1065,Mumps,10
1052,1084,Hepatitis A,39
1053,1074,Hepatitis A,6
1054,1087,Dengue,18
1055,1088,Mumps,16
1056,1088,Fever with Rash,6
1057,1031,Chicken Pox,28
1058,1030,Hepatitis A,27
1059,1029,Melioidosis,1
1060,1028,Melioidosis,1
1061,1027,Acute Diarrheal Disease,123
1062,1034,Mumps,9
1063,1061,Acute Diarrheal Disease,31
1064,1087,Chickenpox,5
1065,1067,Mumps,7
1066,1103,Food Poisoning,78
1067,1096,Hepatitis A,13
1068,973,Hepatitis A,5
1069,974,Acute Diarrheal Disease,66
1070,975,Hepatitis A,16
1071,1038,Hepatitis A,6
1072,1038,Dengue,39
1073,978,Acute Diarrheal Disease,22
1074,980,Dengue,16
1075,1045,Acute Diarrheal Disease,72
1076,1033,Mumps,9
1077,1104,Dengue,12
1078,1043,Mumps,12
1079,1037,Scrub Typhus,3
1080,958,Food Poisoning,172
1081,959,Food Poisoning,70
1082,960,Food Poisoning,101
1083,961,Food Poisoning,16
1084,981,Mumps,10
1085,982,Hepatitis A,41
1086,985,Chickenpox,28
1087,986,Mumps,16
1088,1036,Hepatitis A,20
1089,962,Hepatitis A,18
1090,1104,Hepatitis A,31
1091,1082,Mumps,20
1092,1101,Acute Diarrheal Disease,10
1093,1102,Hepatitis A,47
1094,1064,Hepatitis A,13
1095,1049,Mumps,15
1096,1050,Mumps,16
1097,1062,Mumps,17
1098,1046,Mumps,34
1099,1054,Food Poisoning,16
1100,1069,Mumps,77
1101,1026,Acute Diarrheal Disease,32
1102,1070,Mumps,41
1103,1072,Mumps,65
1104,1068,Typhoid,57
1105,1083,Mumps,11
1106,1076,Food Poisoning,22
1107,1077,Hepatitis A,15
1108,1078,Food Poisoning,60
1109,1079,Hepatitis A,40
1110,1080,Hepatitis A,26
1111,1081,Hepatitis A,47
1112,1071,Hepatitis A,28
1113,987,Mumps,6
1114,1115,Food Poisoning,26
1115,1148,Hepatitis A,15
1116,1122,Jaundice,24
1117,989,Acute Gastroenteritis,41
1118,990,Acute Gastroenteritis,28
1119,1009,Hepatitis A,25
1120,1013,Mumps,40
1121,1012,Hepatitis A,12
1122,1001,Hepatitis A,29
1123,1002,Food Poisoning,21
1124,1004,Acute Gastroenteritis,145
1125,1006,Acute Diarrheal Disease,33
1126,1139,Hepatitis A,24
1127,1014,Food Poisoning,33
1128,1024,Hepatitis A,95
1129,1023,Mpox,1
1130,1015,Food Poisoning,59
1131,1007,Food Poisoning,285
1132,997,Mpox,1
1133,991,Monkey Pox,2
1134,1123,Hepatitis A,61
1135,991,Chickenpox,28
1136,1124,Dengue,113
1137,1125,Hepatitis A,11
1138,1141,Acute Gastroenteritis,9
1139,1144,Acute Diarrheal Disease,24
1140,1115,Hepatitis A,45
1141,1117,Hepatitis A,12
1142,1140,Hepatitis A,6
1143,1118,Dengue,23
1144,1145,Dog Bite,9
1145,956,Acute Gastroenteritis,105
1146,1149,Hepatitis A,132
1147,1116,Hepatitis A,19
1148,1108,Food Poisoning,69
1149,1016,Food Poisoning,22
1150,1119,West Nile Fever,2
1151,1129,Jaundice,55
1152,1128,Mumps,23
1153,1127,Hepatitis A,18
1154,1127,Hepatitis A,31
1155,1135,Acute Diarrheal Disease,17
1156,1112,Food Poisoning,143
1157,1143,Dengue,20
1158,1143,Hepatitis A,71
1159,1113,Hepatitis A,62
1160,1126,Food Poisoning,34
1161,1110,Acute Diarrheal Disease,10
1162,1130,Leptospirosis,8
1163,1114,Dengue,11
1164,1111,Cholera,17
1165,1131,Mumps,18
1166,1132,Mumps,13
1167,1120,Food Poisoning,130
1168,1121,Food Poisoning,15
1169,1109,Hepatitis A,55
1170,1142,Hepatitis A,22
1171,1138,Dengue,129
1172,1133,Mumps,21
1173,1136,Acute Diarrheal Disease,82
1174,1146,Hepatitis A,12
1175,1134,Mumps,11
1176,1137,Acute Diarrheal Disease,26
1177,1151,Mumps,49
1178,1179,Chickenpox,6
1179,1199,Food Poisoning,20
1180,1166,Chickenpox,15
1181,1173,Acute Diarrheal Disease,94
1182,1183,Fever with Rash,8
1183,1174,Acute Diarrheal Disease,7
1184,1176,Acute Diarrheal Disease,33
1185,1227,Scrub Typhus,5
1186,1182,Chickenpox,9
1187,1157,Dengue,101
1188,1217,Chickenpox,21
1189,1273,Acute Diarrheal Disease,16
1190,1262,Acute Diarrheal Disease,0
1191,1270,Chicken Pox,11
1192,1192,Chikungunya,129
1193,1269,Measles,7
1194,1248,Chikungunya,65
1195,1249,Mumps,29
1196,1274,Acute Diarrheal Disease,11
1197,1172,Acute Diarrheal Disease,19
1198,1189,Mumps,18
1199,1171,Acute Diarrheal Disease,27
1200,1235,Mumps,31
1201,1234,Fever with Rash,23
1202,1233,Measles,18
1203,1215,Fever with Rash,6
1204,1216,Measles,2
1205,1169,Mumps,15
1206,1218,Measles,13
1207,1193,Acute Diarrheal Disease,36
1208,1210,Dengue,41
1209,1178,Measles,20
1210,1260,Chikungunya,50
1211,1243,Typhoid,84
1212,1268,Acute Diarrheal Disease,89
1213,1275,Cholera,112
1214,1229,Food Poisoning,64
1215,1237,Chickenpox,7
1216,1238,Mumps,7
1217,1239,Chickenpox,8
1218,1240,Mumps,39
1219,1241,Mumps,27
1220,1196,Acute Diarrheal Disease,53
1221,1204,Acute Diarrheal Disease,35
1222,1197,Dengue,69
1223,1170,Cholera,63
1224,1181,Cholera,251
1225,1246,Food Poisoning,20
1226,1247,Food Poisoning,45
1227,1263,Cholera,25
1228,1271,Mumps,12
1229,1230,Cholera,115
1230,1163,Acute Diarrheal Disease,91
1231,1179,Measles,7
1232,1159,Food Poisoning,10
1233,1160,Measles,10
1234,1184,Acute Diarrheal Disease,7
1235,1161,Cholera,28
1236,1162,Cholera,7
1237,1205,Measles,9
1238,1214,Mumps,13
1239,1194,Typhoid,28
1240,1177,Mumps,38
1241,1185,Acute Diarrheal Disease,68
1242,1167,Dengue,16
1243,1200,Food Poisoning,88
1244,1208,Cholera,28
1245,1186,Dengue,109
1246,1225,Acute Diarrheal Disease,5
1247,1195,Measles,12
1248,1213,Measles,12
1249,1211,Dengue,23
1250,1201,Chikungunya,57
1251,1236,Mumps,33
1252,1203,Measles,24
1253,1228,Dengue,43
1254,1232,Acute Diarrheal Disease,30
1255,1226,Acute Diarrheal Disease,36
1256,1187,Acute Diarrheal Disease,4
1257,1168,Acute Diarrheal Disease,42
1258,1261,Chickenpox,5
1259,1231,Chickenpox,5
1260,1152,Acute Diarrheal Disease,21
1261,1153,Leptospirosis,17
1262,1281,Fever of Unknown Origin,17
1263,1259,Chikungunya,21
1264,1242,Acute Diarrheal Disease,36
1265,1154,Dengue,76
1266,1155,Measles,8
1267,1156,Acute Diarrheal Disease,40
1268,1219,Acute Diarrheal Disease,16
1269,1220,Acute Diarrheal Disease,26
1270,1266,Animal Bite - Dog Bite,13
1271,1265,Measles,12
1272,1221,Acute Diarrheal Disease,19
1273,1202,Measles,4
1274,1280,Acute Diarrheal Disease,24
1275,1276,Chikungunya,77
1276,1277,Food Poisoning,14
1277,1209,Acute Diarrheal Disease,6
1278,1209,Acute Diarrheal Disease,7
1279,1209,Acute Diarrheal Disease,8
1280,1158,Dengue,6
1281,1165,Acute Diarrheal Disease,24
1282,1256,Acute Diarrheal Disease,31
1283,1255,Acute Diarrheal Disease,8
1284,1254,Acute Diarrheal Disease,10
1285,1253,Acute Diarrheal Disease,47
1286,1252,Dengue,10
1287,1251,Dengue,18
1288,1250,Acute Diarrheal Disease,27
1289,1276,Acute Diarrheal Disease,15
1290,1278,Dengue,26
1291,1292,Fever,2
1292,1258,Measles,47
1293,1257,Scrub Typhus,2
1294,1245,Dengue,27
1295,1175,Acute Diarrheal Disease,11
1296,1180,Dengue,171
1297,1180,Measles,15
1298,1222,Acute Diarrheal Disease,105
1299,1223,Cholera,7
1300,1244,Dengue,12
1301,1207,Acute Diarrheal Disease,32
1302,1267,Acute Diarrheal Disease,12
1303,1191,Scrub Typhus,1
1304,1190,Jaundice of < 4 weeks,10
1305,1198,Leptospirosis,10
1306,1264,Acute Diarrheal Disease,66
1307,1206,Acute Diarrheal Disease,19
1308,1224,Acute Diarrheal Disease,40
1309,1188,Acute Diarrheal Disease,77
1310,1279,Measles,44
1311,1212,Acute Encephalitic Syndrome,1
1312,1314,Dengue,12
1313,1373,Malaria,385
1314,1335,Food Poisoning,25
1315,1356,Acute Diarrheal Disease,136
1316,1334,Acute Diarrheal Disease,21
1317,1333,Hepatitis A,22
1318,1345,Scrub Typhus,1
1319,1344,Hepatitis A,65
1320,1343,Cholera,6
1321,1371,Dengue,2
1322,1304,Acute Diarrheal Disease,97
1323,1332,Food Poisoning,48
1324,1312,Acute Diarrheal Disease,29
1325,1331,Acute Diarrheal Disease,18
1326,1337,Acute Diarrheal Disease,76
1327,1290,Acute Diarrheal Disease,21
1328,1302,Dengue,31
1329,1328,Malaria,41
1330,1330,Hepatitis A,9
1331,1379,Cholera,17
1332,1355,Food Poisoning,93
1333,1313,Cholera,5
1334,1358,Acute Diarrheal Disease,146
1335,1305,Dengue,22
1336,1315,Acute Diarrheal Disease,61
1337,1316,Dengue,23
1338,1301,Dengue,16
1339,1327,Cholera,9
1340,1377,Dengue,35
1341,1357,Acute Diarrheal Disease,30
1342,1318,Malaria,28
1343,1367,Acute Diarrheal Disease,28
1344,1340,Acute Diarrheal Disease,67
1345,1320,Acute Diarrheal Disease,20
1346,1311,Acute Diarrheal Disease,26
1347,1295,Acute Diarrheal Disease,16
1348,1307,Hepatitis A&E,101
1349,1346,Chikungunya,11
1350,1306,Acute Diarrheal Disease,110
1351,1352,Hepatitis-A,9
1352,1353,Food Poisoning,106
1353,1354,Scrub Typhus,9
1354,1355,Dengue & Chikungunya,9
1355,1356,Malaria,2
1356,1342,Hepatitis A,9
1357,1303,Dengue,13
1358,1310,Dengue,29
1359,1309,Cholera,15
1360,1341,Dengue,5
1361,1291,Chikungunya,14
1362,1300,Mumps,5
1363,1317,Malaria,8
1364,1336,Acute Diarrheal Disease,170
1365,1319,Cholera,5
1366,1364,Acute Diarrheal Disease,23
1367,1296,Zika Virus,1
1368,1372,Food Poisoning,181
1369,1366,Food Poisoning,6
1370,1293,Zika Virus,1
1371,1380,Acute Diarrheal Disease,165
1372,1363,Food Poisoning,68
1373,1321,Acute Diarrheal Disease,193
1374,1326,Malaria,9
1375,1322,Dengue,6
1376,1325,Hepatitis A,18
1377,1324,Chikungunya,14
1378,1323,Leptospirosis,7
1379,1329,Zika Virus,1
1380,1362,Food Poisoning,208
1381,1292,Hepatitis A,42
1382,1383,Malaria,191
1383,1354,Chikungunya,5
1384,1381,Acute Diarrheal Disease,49
1385,1370,Food Poisoning,22
1386,1283,Dengue,24
1387,1338,Hepatitis A,10
1388,1285,Dengue,24
1389,1284,Acute Diarrheal Disease,115
1390,1360,Leptospirosis,3
1391,1365,Dengue,16
1392,1368,Acute Diarrheal Disease,129
1393,1361,Food Poisoning,18
1394,1349,Hepatitis A,12
1395,1289,Chikungunya,27
1396,1369,Zika Virus,8
1397,1352,Dengue,5
1398,1378,Chikungunya,12
1399,1359,Dengue,5
1400,1286,Acute Diarrheal Disease,1000
1401,1287,Food Poisoning,629
1402,1347,Hepatitis A,10
1403,1348,Food Poisoning,42
1404,1353,Hepatitis A,96
1405,1350,Acute Diarrheal Disease,26
1406,1294,Leptospirosis,1
1407,1351,Chikungunya,9
1408,1339,Dengue,9
1409,1376,Cholera,65
1410,1375,Cholera,89
1411,1359,Chikungunya,12
1412,1383,Chickenpox,10
1413,1384,Human Rabies,1
1414,1382,Food Poisoning,26
1415,1392,Mushroom Poisoning,12
1416,1395,Mushroom Poisoning,10
1417,1391,Mushroom Poisoning,5
1418,1390,Hepatitis A,4
1419,1388,Measles,35
1420,1386,Human Rabies,1
1421,1394,Chickenpox,100
1422,1387,Scrub Typhus,35
1423,1393,Measles,66
1424,1396,Measles,24
1425,1398,Acute Gastroenteritis,15
1426,1399,Mushroom Poisoning,5
1427,1397,Measles,23
1428,1385,Measles,15
1429,1400,Measles,34
1430,1401,Human Rabies,1
1431,1387,Typhoid,86
1432,1389,Measles,28
1433,1402,Dengue,157
1434,1425,Food Poisoning,34
1435,1416,Acute Diarrheal Disease,16
1436,1408,Food Poisoning,13
1437,1435,Fever with Rash,15
1438,1407,Food Poisoning,250
1439,1414,Food Poisoning,10
1440,1423,Acute Diarrheal Disease,39
1441,1457,Hepatitis A,72
1442,1403,Measles,43
1443,1406,Acute Diarrheal Disease,11
1444,1404,Hepatitis A,10
1445,1420,Acute Diarrheal Disease,7
1446,1415,Fever with Rash,18
1447,1417,Acute Diarrheal Disease,30
1448,1412,Acute Diarrheal Disease,19
1449,1450,Food Poisoning,25
1450,1451,Acute Diarrheal Disease,22
1451,1421,Acute Diarrheal Disease,42
1452,1424,Food Poisoning,27
1453,1436,Food Poisoning,20
1454,1475,Acute Diarrheal Disease,6
1455,1474,Hepatitis A,12
1456,1476,Acute Diarrheal Disease,12
1457,1480,Acute Diarrheal Disease,19
1458,1479,Acute Diarrheal Disease,12
1459,1459,Anthrax,5
1460,1469,Measles,16
1461,1446,Acute Diarrheal Disease,20
1462,1447,Acute Gastroenteritis,15
1463,1450,Fever with Rash,8
1464,1442,Food Poisoning,28
1465,1441,Acute Diarrheal Disease,11
1466,1428,Hepatitis A,12
1467,1440,Food Poisoning,53
1468,1430,Acute Diarrheal Disease,18
1469,1427,Food Poisoning,49
1470,1439,Cholera,72
1471,1433,Acute Diarrheal Disease,29
1472,1434,Acute Diarrheal Disease,22
1473,1472,Acute Gastroenteritis,73
1474,1478,Food Poisoning,19
1475,1429,Fever with Rash,11
1476,1431,Hepatitis A,101
1477,1451,Scrub Typhus,27
1478,1452,Acute Diarrheal Disease,54
1479,1468,Acute Diarrheal Disease,1
1480,1426,Acute Diarrheal Disease,35
1481,1455,Hepatitis A,13
1482,1454,Acute Diarrheal Disease,35
1483,1453,Acute Diarrheal Disease,1
1484,1438,Hepatitis A,3
1485,1458,Acute Diarrheal Disease,20
1486,1411,Diphtheria,1
1487,1437,Hepatitis A,6
1488,1422,Hepatitis A,8
1489,1419,Anthrax,6
1490,1467,Food Poisoning,11
1491,1409,Food Poisoning,13
1492,1473,Acute Diarrheal Disease,9
1493,1470,Food Poisoning,6
1494,1463,Food Poisoning,42
1495,1464,Acute Diarrheal Disease,18
1496,1444,Diphtheria,2
1497,1465,Acute Diarrheal Disease,12
1498,1445,Acute Diarrheal Disease,10
1499,1462,Chickenpox,15
1500,1461,Food Poisoning,42
1501,1405,Food Poisoning,112
1502,1443,Acute Diarrheal Disease,16
1503,1456,Acute Diarrheal Disease,42
1504,1460,Food Poisoning,347
1505,1432,Chickenpox,20
1506,1413,Hepatitis A,132
1507,1448,Acute Diarrheal Disease,30
1508,1449,Acute Diarrheal Disease,81
1509,1418,Acute Diarrheal Disease,8
1510,1466,Acute Diarrheal Disease,7
1511,1410,Acute Diarrheal Disease,12
1512,1483,Chickenpox,17
1513,1482,Chikungunya,18
1514,1481,Cholera,28
1515,1486,Mumps,7
1516,1490,Mumps,6
1517,1484,Mumps,81
1518,1489,Chickenpox,54
1519,1491,Hepatitis A,40
1520,1487,Measles,4
1521,1488,Mumps,6
1522,1492,Mumps,13
1523,1485,Mumps,24
1524,1494,Food Poisoning,104
1525,1495,Mumps,76
1526,1493,CCHF,1
1528,1535,Mumps,8
1529,1539,Mumps,6
1530,1540,Dengue,12
1531,1536,Measles,14
1532,1550,Mumps,17
1533,1518,Acute Diarrheal Disease,57
1534,1542,Fever,10
1535,1504,Acute Diarrheal Disease,15
1536,1498,Mumps,34
1537,1502,Acute Diarrheal Disease,25
1538,1503,Chickenpox,12
1539,1499,Acute Gastroenteritis,37
1540,1549,Chikungunya,20
1541,1546,Mumps,5
1542,1554,Dengue & Chikungunya,12
1543,1541,Mumps,17
1544,1548,Acute Diarrheal Disease,14
1545,1500,Acute Diarrheal Disease,15
1546,1537,Acute Diarrheal Disease,21
1547,1538,Food Poisoning,49
1548,1552,Chickenpox,40
1549,1547,Acute Diarrheal Disease,106
1550,1507,Cholera,41
1551,1552,Acute Diarrheal Disease,11
1552,1553,Cholera,2
1553,1508,Mumps,6
1554,1501,Mumps,15
1555,1533,Mumps,17
1556,1523,Mumps,22
1557,1528,Food Poisoning,4
1558,1521,Mumps,6
1559,1543,Chickenpox,12
1560,1529,Mumps,40
1561,1530,Chickenpox,18
1562,1520,Mumps,8
1563,1551,Mumps,9
1564,1527,Mumps,17
1565,1524,Acute Diarrheal Disease,131
1566,1544,Mumps,18
1567,1522,Leptospirosis,14
1568,1517,Fever,7
1569,1516,Food Poisoning,6
1570,1526,Acute Diarrheal Disease,13
1571,1525,Mumps,25
1572,1531,Mumps,6
1573,1512,Acute Diarrheal Disease,39
1574,1519,Acute Diarrheal Disease,34
1575,1510,Mumps,29
1576,1497,Mumps,12
1577,1509,Mumps,9
1578,1515,Hepatitis A,18
1579,1514,Mumps,7
1580,1545,Leptospirosis,21
1581,1532,Dengue,88
1582,1513,Mumps,5
1583,1534,Chickenpox,64
1584,1511,Human Rabies,1
1585,1553,Chickenpox,14
1586,1555,Acute Diarrheal Disease,48
1587,1560,Food Poisoning,16
1588,1558,Acute Diarrheal Disease,50
1589,1557,Acute Diarrheal Disease,48
1590,1559,Acute Diarrheal Disease,63
1591,1556,Acute Diarrheal Disease,33
1592,1579,Japanese Encephalitis,5
1593,1576,Measles,43
1594,1587,Fever with Rash,8
1595,1586,Measles,9
1596,1582,Food Poisoning,72
1597,1585,Food Poisoning,21
1598,1574,Japanese Encephalitis,6
1599,1578,Measles,5
1600,1577,Food Poisoning,30
1601,1571,Acute Diarrheal Disease,876
1602,1575,Leptospirosis,3
1603,1573,Fever with Rash,5
1604,1562,Acute Diarrheal Disease,111
1605,1569,Measles,4
1606,1566,Scrub Typhus,28
1607,1570,Food Poisoning,112
1608,1567,Acute Diarrheal Disease,36
1609,1565,Food Poisoning,31
1610,1572,Fever with Rash,11
1611,1568,Chickenpox,18
1612,1564,Acute Diarrheal Disease,15
1613,1563,Fever with Rash,12
1614,1581,Measles,5
1615,1580,Dengue,8
1616,1583,Acute Diarrheal Disease,55
1617,1584,Measles,6
1618,1561,Food Poisoning,61
1619,1590,Food Poisoning,23
1620,1588,Acute Diarrheal Disease,75
1621,1591,Hepatitis A,11
1622,1613,Mumps,51
1623,1595,Acute Diarrheal Disease,14
1624,1597,Food Poisoning,42
1625,1592,Food Poisoning,42
1626,1596,Acute Diarrheal Disease,38
1627,1613,Acute Diarrheal Disease,32
1628,1615,Acute Diarrheal Disease,26
1629,1612,Food Poisoning,164
1630,1593,Acute Diarrheal Disease,6
1631,1606,Food Poisoning,72
1632,1594,Acute Diarrheal Disease,31
1633,1604,Food Poisoning,55
1634,1609,Acute Diarrheal Disease,19
1635,1610,Food Poisoning,32
1636,1611,Cholera,20
1637,1598,Food Poisoning,44
1638,1599,Acute Diarrheal Disease,19
1639,1608,Acute Diarrheal Disease,15
1640,1607,Acute Diarrheal Disease,17
1641,1601,Cholera,19
1642,1603,Acute Diarrheal Disease,7
1643,1614,Acute Diarrheal Disease,67
1644,1600,Acute Diarrheal Disease,122
1645,1605,Acute Diarrheal Disease,10
1646,1602,Acute Diarrheal Disease,17
